int_corr,diff_age,diff_date,diff_go_out,sinc_o,attr_o,fun_o,diff_intel,diff_sinc,diff_shar,diff_amb,diff_attr,diff_fun,intel_o,match
0.48,2.0,3.0,3.0,1,0,0,20.0,20.0,0.0,10.0,10.0,0.0,1,0.0
0.31,4.0,2.0,4.0,1,0,0,14.0,15.0,15.0,18.0,16.0,12.0,1,0.0
0.4,4.0,2.0,4.0,1,0,0,12.0,15.0,15.0,14.0,15.0,13.0,1,0.0
0.59,4.0,0.0,4.0,1,1,1,13.0,22.0,3.0,17.0,2.0,17.0,1,0.0
0.17,5.0,1.0,3.0,0,0,0,10.0,25.0,5.0,15.0,5.0,20.0,0,0.0
0.22,0.0,2.0,3.0,1,0,0,15.0,15.0,5.0,0.0,0.0,25.0,0,0.0
0.32,3.0,0.0,2.0,1,0,0,10.0,10.0,5.0,10.0,10.0,15.0,0,0.0
0.27,1.0,0.0,2.0,1,0,0,0.0,0.0,0.0,10.0,15.0,5.0,1,1.0
0.19,0.0,1.0,2.0,1,0,0,5.0,15.0,10.0,15.0,15.0,10.0,0,0.0
0.0,5.0,0.0,3.0,1,0,1,15.0,5.0,10.0,15.0,20.0,15.0,1,0.0
0.43,0.0,2.0,1.0,1,0,0,25.0,20.0,0.0,10.0,15.0,0.0,1,0.0
0.3,6.0,1.0,2.0,1,0,0,9.0,15.0,15.0,18.0,21.0,12.0,1,0.0
0.47,6.0,1.0,2.0,1,1,1,7.0,15.0,15.0,14.0,20.0,13.0,1,0.0
0.04,6.0,1.0,2.0,1,1,1,8.0,22.0,3.0,17.0,7.0,17.0,1,0.0
0.12,7.0,2.0,1.0,0,0,0,5.0,25.0,5.0,15.0,10.0,20.0,0,0.0
0.01,2.0,1.0,1.0,1,0,0,10.0,15.0,5.0,0.0,5.0,25.0,1,0.0
0.19,1.0,1.0,0.0,0,0,0,5.0,10.0,5.0,10.0,15.0,15.0,0,0.0
0.18,1.0,1.0,0.0,1,0,1,5.0,0.0,0.0,10.0,20.0,5.0,1,1.0
0.2,2.0,2.0,0.0,1,1,1,0.0,15.0,10.0,15.0,20.0,10.0,1,0.0
0.21,7.0,1.0,1.0,1,0,1,10.0,5.0,10.0,15.0,25.0,15.0,1,0.0
0.22,1.0,0.0,1.0,1,0,0,45.0,30.0,5.0,5.0,0.0,15.0,1,0.0
0.44,7.0,1.0,2.0,1,0,0,11.0,25.0,10.0,13.0,6.0,3.0,1,0.0
0.44,7.0,1.0,2.0,1,0,0,13.0,25.0,10.0,9.0,5.0,2.0,1,0.0
0.45,7.0,3.0,2.0,1,1,1,12.0,32.0,2.0,12.0,8.0,2.0,1,0.0
0.21,8.0,4.0,1.0,1,0,0,15.0,35.0,0.0,10.0,5.0,5.0,1,0.0
0.01,3.0,1.0,1.0,1,0,0,10.0,25.0,0.0,5.0,10.0,10.0,0,0.0
0.07,0.0,3.0,0.0,0,0,0,15.0,20.0,0.0,5.0,0.0,0.0,0,0.0
0.24,2.0,3.0,0.0,0,0,0,25.0,10.0,5.0,5.0,5.0,10.0,1,0.0
0.01,3.0,4.0,0.0,1,0,0,20.0,25.0,5.0,10.0,5.0,5.0,0,0.0
0.17,8.0,3.0,1.0,0,0,0,10.0,15.0,5.0,10.0,10.0,0.0,1,0.0
0.21,4.0,3.0,0.0,1,0,0,45.0,5.0,25.0,5.0,30.0,0.0,1,0.0
0.46,2.0,2.0,1.0,0,0,0,11.0,10.0,10.0,13.0,36.0,12.0,1,1.0
0.53,2.0,2.0,1.0,1,1,0,13.0,10.0,10.0,9.0,35.0,13.0,1,0.0
0.48,2.0,0.0,1.0,1,1,1,12.0,3.0,22.0,12.0,22.0,17.0,1,0.0
0.08,3.0,1.0,0.0,1,1,1,15.0,0.0,20.0,10.0,25.0,20.0,1,0.0
0.1,2.0,2.0,0.0,0,0,0,10.0,10.0,20.0,5.0,20.0,25.0,0,0.0
0.33,5.0,0.0,1.0,0,0,0,15.0,15.0,20.0,5.0,30.0,15.0,0,0.0
0.4,3.0,0.0,1.0,1,0,1,25.0,25.0,25.0,5.0,35.0,5.0,1,1.0
0.06,2.0,1.0,1.0,1,1,1,20.0,10.0,15.0,10.0,35.0,10.0,1,0.0
0.01,3.0,0.0,0.0,1,0,0,10.0,20.0,15.0,10.0,40.0,15.0,1,0.0
0.46,6.0,0.0,1.0,1,1,0,49.0,8.0,4.0,9.0,35.0,35.0,1,0.0
0.12,0.0,1.0,0.0,1,1,1,15.0,13.0,19.0,17.0,41.0,23.0,1,0.0
0.35,0.0,1.0,0.0,1,1,1,17.0,13.0,19.0,13.0,40.0,22.0,1,0.0
0.78,0.0,3.0,0.0,1,1,1,16.0,6.0,7.0,16.0,27.0,18.0,1,1.0
0.01,1.0,4.0,1.0,1,1,1,19.0,3.0,9.0,14.0,30.0,15.0,1,1.0
0.12,4.0,1.0,1.0,1,1,1,14.0,13.0,9.0,1.0,25.0,10.0,1,0.0
0.44,7.0,3.0,2.0,1,1,0,19.0,18.0,9.0,9.0,35.0,20.0,0,0.0
0.24,5.0,3.0,2.0,1,1,1,29.0,28.0,4.0,9.0,40.0,30.0,1,0.0
0.31,4.0,4.0,2.0,0,1,0,24.0,13.0,14.0,14.0,40.0,25.0,0,0.0
0.17,1.0,3.0,1.0,0,0,1,14.0,23.0,14.0,14.0,45.0,20.0,1,0.0
0.5,7.0,1.0,1.0,0,1,1,25.0,5.0,0.0,5.0,5.0,20.0,1,1.0
0.48,1.0,2.0,0.0,0,1,0,9.0,0.0,15.0,13.0,11.0,8.0,0,0.0
0.41,1.0,2.0,0.0,0,1,1,7.0,0.0,15.0,9.0,10.0,7.0,1,1.0
0.0,1.0,4.0,0.0,1,1,1,8.0,7.0,3.0,12.0,3.0,3.0,1,1.0
0.73,0.0,5.0,1.0,1,1,1,5.0,10.0,5.0,10.0,0.0,0.0,1,1.0
